name,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,QC_1,QC_2,S01,S02,S03,S04,S05,S06,S07,S08
M895T381,895.1395,895.1375,895.1415,381.3,378.3,384.3,9,319207.0,20463.4,441017.6,NA,624303.1,65226.5,788574.7,105674.8,40548.6,271175.7
M186T397,186.2356,186.2336,186.23760000000001,397.4,394.4,400.4,7,537062.3,495117.4,279783.2,184160.7,269654.5,NA,NA,608569.2,265186.5,12534.8
M895T393,895.3308,895.3288,895.3327999999999,393.5,390.5,396.5,7,44162.5,938187.8,262633.4,932314.6,531554.8,446241.2,271251.8,994504.5,NA,NA
M494T880,494.6363,494.6343,494.6383,880.9,877.9,883.9,10,447608.5,650455.9,546360.3,970342.1,215965.9,199425.9,729115.3,989448.6,837151.3,NA
M592T795,592.8676,592.8656000000001,592.8696,795.5,792.5,798.5,9,85400.4,870667.3,282651.3,293765.4,158375.4,263979.8,972650.4,245202.0,310238.4,2067.8
M392T442,392.9338,392.9318,392.93580000000003,442.9,439.9,445.9,6,776461.8,NA,144721.3,394584.7,630040.2,NA,853394.3,892908.4,596962.8,720956.6
M485T277,485.2364,485.2344,485.2384,277.2,274.2,280.2,5,NA,892050.4,734118.3,140168.3,504866.7,804872.9,584477.5,683212.5,230710.8,NA
M189T343,189.1364,189.1344,189.13840000000002,343.8,340.8,346.8,4,451934.8,NA,NA,245315.1,457491.6,NA,897959.7,NA,745982.2,809409.6
M773T234,773.8296,773.8276000000001,773.8316,234.3,231.3,237.3,6,650282.3,845685.7,NA,288031.8,NA,199091.8,332441.2,693193.9,134307.6,486312.2
M877T116,877.4574,877.4554,877.4594,116.6,113.6,119.6,6,291565.6,465198.2,119384.4,200050.8,936318.1,NA,820077.8,450001.5,210627.4,211498.1
M556T153,556.8073,556.8053000000001,556.8093,153.3,150.3,156.3,7,133472.5,509235.6,703633.7,897808.0,25809.6,NA,451309.5,141566.5,316762.0,2739.6
M695T760,695.6019,695.5999,695.6039,760.0,757.0,763.0,4,196545.4,NA,253959.0,NA,870102.0,NA,755900.7,281357.1,NA,635328.5
M202T874,202.1098,202.1078,202.11180000000002,874.8,871.8,877.8,9,190659.2,956209.1,812150.3,913510.5,549678.9,50426.6,451409.6,644846.2,49927.9,128184.0
M467T329,467.191,467.18899999999996,467.193,329.0,326.0,332.0,7,739006.5,406803.1,483698.8,120622.8,76095.4,812014.7,453533.1,759488.6,548237.5,175520.4
M535T307,535.8168,535.8148,535.8187999999999,307.8,304.8,310.8,8,570048.1,749907.9,414469.7,377488.9,62997.5,967717.6,503892.4,862998.5,271749.9,400357.4
M445T859,445.6039,445.6019,445.6059,859.9,856.9,862.9,3,425774.7,804445.0,490334.5,NA,928232.6,468683.3,783324.1,152916.2,109781.5,701302.7
M774T808,774.137,774.135,774.1389999999999,808.6,805.6,811.6,4,40506.7,233344.3,645860.3,128838.9,636654.8,113020.6,NA,583308.1,224359.5,11451.2
M327T430,327.2475,327.2455,327.2495,430.8,427.8,433.8,8,883890.3,235533.3,960653.6,308090.4,NA,674788.8,257998.9,925235.7,35063.3,421136.3
M639T202,639.7047,639.7027,639.7067,202.3,199.3,205.3,7,505373.5,969888.9,820184.5,222221.4,295637.9,496269.0,224100.8,665629.0,147236.7,213736.1
M878T153,878.7782,878.7762,878.7801999999999,153.5,150.5,156.5,3,184920.7,712322.7,114092.4,NA,191492.8,525272.8,312515.3,839287.9,442992.7,79163.8
M146T395,146.2256,146.22359999999998,146.2276,395.6,392.6,398.6,4,759046.2,768963.4,804132.3,NA,196520.1,446901.2,737582.5,632030.5,625782.9,376192.1
M460T728,460.5215,460.5195,460.5235,728.9,725.9,731.9,3,747539.5,339730.5,957731.9,262910.3,317167.1,4767.8,916543.1,943306.9,NA,475713.9
M864T859,864.5577,864.5557,864.5596999999999,859.9,856.9,862.9,9,913630.4,133574.6,9696.5,304011.5,152163.9,861381.1,784049.2,512372.9,160777.4,649896.5
M474T503,474.9857,474.9837,474.9877,503.8,500.8,506.8,5,883591.2,265626.4,NA,NA,710061.4,234962.1,620687.3,748229.1,664760.8,841030.3
M320T523,320.9014,320.8994,320.90340000000003,523.2,520.2,526.2,8,261074.7,186550.7,282072.7,189061.9,NA,246703.3,649991.0,464451.8,NA,NA
