Protein IDs	Majority protein IDs	Gene names	Protein names	Peptides	Unique peptides	Intensity Ctrl_1	Intensity Ctrl_2	Intensity Ctrl_3	Intensity Treat_1	Intensity Treat_2	Intensity Treat_3	LFQ intensity Ctrl_1	LFQ intensity Ctrl_2	LFQ intensity Ctrl_3	LFQ intensity Treat_1	LFQ intensity Treat_2	LFQ intensity Treat_3	Only identified by site	Reverse	Potential contaminant	id
P10000;P10000-2	P10000	ALB	ALB protein	29	4	4952859575	2311595691	2189419893	0	310026767	0	4457573617	2080436121	1970477903	0	279024090	0				0
P10037;P10037-2	P10037	APOA1	APOA1 protein	21	36	9558738649	4080378921	1713729684	8800005680	5548829718	9105848384	8602864784	3672341028	1542356715	7920005112	4993946746	8195263545				1
P10074;P10074-2	P10074	HP	HP protein	21	16	786213899	2754112455	8869611191	0	5654219119	6251379376	707592509	2478701209	7982650071	0	5088797207	5626241438				2
P10111;P10111-2	P10111	TF	TF protein	11	32	1058386555	6560669089	7437910944	4219818936	0	7556862847	952547899	5904602180	6694119849	3797837042	0	6801176562				3
P10148;P10148-2	P10148	A2M	A2M protein	38	29	7819768138	7727592285	0	0	289172786	9929688139	7037791324	6954833056	0	0	260255507	8936719325				4
P10185;P10185-2	P10185	C3	C3 protein	17	26	7176808862	0	9321696870	0	0	9155446607	6459127975	0	8389527183	0	0	8239901946				5
P10222;P10222-2	P10222	FGB	FGB protein	16	10	8047696176	0	6664793745	7823747417	9795743949	8102546565	7242926558	0	5998314370	7041372675	8816169554	7292291908				6
P10259;P10259-2	P10259	SERPINA1	SERPINA1 protein	56	33	0	2838307593	0	5088123983	4930642638	9138916518	0	2554476833	0	4579311584	4437578374	8225024866				7
P10296;P10296-2	P10296	APOB	APOB protein	40	4	3187351297	6707021128	1702732589	1729888006	4239115149	4777105785	2868616167	6036319015	1532459330	1556899205	3815203634	4299395206				8
P10333;P10333-2	P10333	IGHG1	IGHG1 protein	40	24	0	2314759731	2645981472	0	1625892810	8408671228	0	2083283757	2381383324	0	1463303529	7567804105			+	9
P10370;P10370-2	P10370	CP	CP protein	50	34	8504685091	1349395518	7524792277	2982361206	1563714997	3936226243	7654216581	1214455966	6772313049	2684125085	1407343497	3542603618				10
P10407;P10407-2	P10407	HPX	HPX protein	48	2	8990821922	6531464856	9556822183	6464034571	3460259197	6421449194	8091739729	5878318370	8601139964	5817631113	3114233277	5779304274				11
P10444;P10444-2	P10444	ORM1	ORM1 protein	32	13	7698481670	9431633284	5783642615	8490477258	0	0	6928633503	8488469955	5205278353	7641429532	0	0				12
P10481;P10481-2	P10481	AGT	AGT protein	31	26	4313163444	2772235647	5161037601	7035888837	0	7405180922	3881847099	2495012082	4644933840	6332299953	0	6664662829				13
P10518;P10518-2	P10518	KNG1	KNG1 protein	3	1	8964659983	4275385103	0	2826889499	8331359594	2364868575	8068193984	3847846592	0	2544200549	7498223634	2128381717				14
P10555;P10555-2	P10555	VTN	VTN protein	36	27	9041337209	4903044616	3763401357	0	2162474070	5705080706	8137203488	4412740154	3387061221	0	1946226663	5134572635				15
P10592;P10592-2	P10592	GC	GC protein	11	31	7482908314	6524438196	9161558525	2202782745	3345068562	653396775	6734617482	5871994376	8245402672	1982504470	3010561705	588057097				16
P10629;P10629-2	P10629	FN1	FN1 protein	22	40	9116776413	0	3344999595	254051092	9019747345	4577134389	8205098771	0	3010499635	228645982	8117772610	4119420950		+		17
P10666;P10666-2	P10666	CFB	CFB protein	22	5	9456364835	7772561301	9663608158	8289877918	1932119101	5990159460	8510728351	6995305170	8697247342	7460890126	1738907190	5391143514				18
P10703;P10703-2	P10703	PLG	PLG protein	47	28	1849700615	3346900082	1582745251	2018910111	4709233012	970836459	1664730553	3012210073	1424470725	1817019099	4238309710	873752813				19
